Time_Period,Refinancing_Rates,georgia_rate,Russia Rate,USD,Dollarization,Core_Inflation_1,Core_Inflation_2,CPI,Year,Month,Reserves
2006-01-01,3.5,3.5,12.0,451.7425,1.5112904157432674,-1.4051900130520778,-1.2564546365981215,-2.9739198914605396,2006,1,681.873684252437
2006-02-01,4.0,4.0,12.0,450.11,1.5364121574558427,-0.9166220536448719,-0.8981083271144712,-2.529050283091266,2006,2,669.3888611043969
2006-03-01,4.0,4.0,12.0,450.9982608695652,1.542729984942891,-0.3958800158041953,-0.5523808139493696,-2.0436684667549088,2006,3,674.6806336177556
2006-04-01,4.0,4.0,12.0,449.9852631578947,1.5485915286517433,1.1918243028434574,0.8720226116577692,-1.5092524089288304,2006,4,680.0357951516132
2006-05-01,4.0,4.0,12.0,439.7319047619048,1.5614987483614928,2.2163253320211425,1.7122381874424093,-0.729713205693983,2006,5,680.0357951516132
2006-06-01,4.0,4.0,12.0,420.63090909090903,1.5992760600849854,2.8138078170234735,2.1538596684217026,-0.17625567901643535,2006,6,744.7619498311733
2006-06-01,4.0,4.0,12.0,420.63090909090903,1.5992760600849854,2.8138078170234735,2.1538596684217026,-0.17625567901643535,2006,6,761.1187784942517
2006-07-01,4.0,4.0,11.5,417.40299999999996,1.626530662455174,4.246790010411303,3.5400266748938805,0.7611834671503459,2006,7,726.4743149406072
2006-08-01,4.25,4.25,11.5,401.8678260869565,1.6245380051812948,4.121317572761711,3.1104979402475834,1.5227472226315513,2006,8,755.9415498277438
2006-09-01,4.5,4.5,11.5,387.89250000000004,1.8057216501891198,3.6452746448086373,2.942868199727627,1.9850392836737711,2006,9,817.0872208268172
2006-10-01,4.75,4.75,11.5,381.315,1.8468282325388532,3.3547337988577084,2.721277014000208,2.367933233826264,2006,10,878.5604725801851
2006-11-01,4.75,4.75,11.0,376.1645454545455,1.7465477260013955,3.1356519318029257,2.458500138909585,2.679974773854809,2006,11,924.1274031932379
2006-12-01,4.75,4.75,11.0,364.6427272727273,1.9119430022553874,2.5320986238296825,1.8622403694094913,2.8884620533475243,2006,12,1072.0365474618213
2007-01-01,4.75,4.75,11.0,363.7135,2.0126677953389263,2.5493362579813663,1.8938325791667552,5.117453624910937,2007,1,1063.117896429718
2007-02-01,4.75,4.75,10.5,355.9775,2.081599075711466,2.594303436426685,2.11421137839271,5.097784799507423,2007,2,1085.8368158522492
2007-03-01,4.75,4.75,10.5,358.63142857142856,2.064135931072515,2.24574615035786,1.946685405811138,4.837267871593127,2007,3,1062.9056479491326
2007-04-01,4.5,4.5,10.5,363.332,1.998053302238643,1.7675535557425661,1.7263389416475832,4.6653599841746995,2007,4,1120.931685551894
2007-05-01,4.5,4.5,10.5,353.76550000000003,2.0542284152915107,1.7016082519381968,1.7617440838940723,4.49772900759433,2007,5,1142.8967858802237
2007-06-01,4.5,4.5,10.5,344.8031818181818,2.1456516188954646,3.0104499238185554,1.8460773720437373,4.544677484153837,2007,6,1216.0266403348903
2007-07-01,4.75,4.75,10.0,338.34727272727275,2.315084174485173,2.1520926956510493,0.9970101375512854,4.204728189343825,2007,7,1270.36264507816
2007-08-01,4.75,4.75,10.0,336.9447826086956,2.3412297641557744,2.298253838575576,1.1346968906336201,3.885651647301543,2007,8,1298.3102196504285
2007-09-01,4.75,4.75,10.0,338.19904761904763,2.3712833825594823,3.486022724125988,1.5341863299685343,3.752571409523341,2007,9,1333.9859431486477
2007-10-01,5.0,5.0,10.0,330.2808333333333,2.4573405649772546,7.182661543699481,2.455845954565092,3.945915729767165,2007,10,1373.8764562910105
2007-11-01,5.25,5.25,10.0,316.8521739130435,2.696993679113816,8.490400664504833,3.3733816292549506,4.206497688476716,2007,11,1573.2689518708164
2007-12-01,5.75,5.75,10.0,304.1021739130435,2.798378018383474,8.649583577575129,3.7912998746068496,4.411847182779098,2007,12,1656.8879338887634
2008-01-01,5.75,5.75,10.0,306.834,2.8275417329771924,8.721041469206824,4.020851221172833,6.575730575608347,2008,1,1625.8014861310342
2008-02-01,6.0,6.0,10.0,308.777,2.8453627727786253,9.383466840124271,4.5840538489837,7.025567099189416,2008,2,1619.3254703584016
2008-03-01,6.25,6.25,10.25,308.61318181818183,2.6859910019070994,11.807333283928827,5.391063398852339,7.888740172849083,2008,3,1603.5263755538795
2008-04-01,6.5,6.5,10.25,309.0390909090909,2.6103435258794416,14.452436204997127,6.582529728323323,8.596485514484314,2008,4,1595.1654119034438
2008-05-01,6.75,6.75,10.5,307.4536842105263,2.7535137949564246,15.321623531797712,7.013671480744549,8.851757205148374,2008,5,1546.0134937806272
2008-06-01,7.0,7.0,10.5,304.9259090909091,2.692035240437253,14.556991760335492,7.46358189574994,8.982013035406112,2008,6,1579.5609411097828
2008-07-01,7.25,7.25,10.75,302.4026086956522,2.632060438782421,14.699880172709598,7.63447388048526,9.220732687683977,2008,7,1603.4810390662624
2008-08-01,7.5,7.5,11.0,301.95863636363634,2.6399153030490075,14.89934100000265,7.867445065410834,9.49662377131429,2008,8,1612.7501134019776
2008-09-01,7.75,10.0,11.0,302.5527272727273,2.8137170626212624,14.083337476073027,7.886424049639345,9.69318622702275,2008,9,1585.2368368320012
2008-10-01,7.75,10.0,11.0,306.18782608695653,2.6452803748692566,10.34554238892018,6.9493784054527765,9.58779266100376,2008,10,1489.2122501595777
2008-11-01,7.75,10.0,11.0,305.2140909090909,2.6933799135245677,8.40930701454927,6.881551476228978,9.306914093902847,2008,11,1498.7216083452206
2008-12-01,7.25,9.0,13.0,307.82916666666665,2.2687142597223593,7.119594306036774,6.645947979476418,8.950712972955216,2008,12,1406.812547966279
2009-01-01,7.0,8.0,13.0,305.5129411764706,2.032453697273417,5.923593112342516,5.637842151128098,3.9843006323621495,2009,1,1259.5305855697966
2009-02-01,6.75,8.0,13.0,305.46761904761905,1.6292331606318418,3.659431649912719,4.4804505809820085,2.497975546114347,2009,2,1141.0972388454336
2009-03-01,7.75,7.0,13.0,365.705,1.50158793685903,3.336721566547581,4.92981387478109,2.000686408649628,2009,3,1343.3073083843424
2009-04-01,7.5,6.5,13.0,372.4242857142857,1.496188727849416,2.932271808048583,5.188249308785615,2.272713986553512,2009,4,1242.024499328441
2009-05-01,6.75,6.0,12.5,372.459,1.4883653985994312,2.366439116041903,5.012239505274067,2.496694557475166,2009,5,1258.5262468053936
2009-06-01,6.0,6.0,12.0,366.7145454545455,1.4977269962198092,2.203802222075552,5.091617040434215,2.677554019641974,2009,6,1963.0630160881856
2009-07-01,5.5,6.0,11.5,365.29391304347826,1.5329177500497275,2.0687416884017154,5.017583050094146,2.7348618109865726,2009,7,1968.0495380143714
2009-08-01,5.25,6.0,11.0,372.76047619047614,1.5053904809993492,2.343795536063567,5.328464038886935,2.8244235257209596,2009,8,2047.6939807957256
2009-09-01,5.0,6.0,10.75,379.87619047619046,1.5184287923734456,2.550051747425485,5.438162952988449,2.9157391553932968,2009,9,2028.8787451710577
2009-10-01,5.0,6.0,10.0,385.64956521739134,1.5059457316293179,2.880688874744905,5.93178805719478,2.9754440520981547,2009,10,2143.7417913155155
2009-11-01,5.0,6.0,9.5,387.08272727272725,1.4866964432505472,4.039473366999232,5.653693839029984,3.1235168360849173,2009,11,2115.771794662313
2009-12-01,5.0,5.0,9.0,380.47,1.4571396177093445,5.8407951643055185,6.18746033907172,3.405873797878783,2009,12,2003.6750413088955
2010-01-01,5.5,5.0,8.75,377.59000000000003,1.429989595707525,7.109363706469836,7.17155787059815,7.036662868119208,2010,1,1938.4496867943117
2010-02-01,6.0,5.0,8.75,380.49142857142857,1.4170035244133246,9.475815891499877,8.443145199950067,8.186680076305137,2010,2,1848.639486929137
2010-03-01,6.5,5.0,8.5,394.205,1.3655368116179458,8.417980634911373,8.074085709910662,8.394978799823576,2010,3,1911.2618808151888
2010-04-01,7.0,5.0,8.25,394.53136363636366,1.394253299760045,6.98323941816183,7.049684458207793,7.998547249006123,2010,4,1887.4490319834629
2010-05-01,7.25,5.0,8.0,384.997619047619,1.4301704869508471,6.59031242764128,6.631647932864965,7.640431299348364,2010,5,1783.4950786319537
2010-06-01,7.25,5.0,7.75,373.45909090909095,1.4489033353443241,6.188343553393665,6.120287204719688,7.325913826017043,2010,6,1786.9237133340598
2010-07-01,7.25,6.25,7.75,366.78227272727275,1.454213963271537,6.076796625410125,5.922267720046818,7.399165440962392,2010,7,1831.1890810778993
2010-08-01,7.25,6.5,7.75,366.3927272727273,1.470061512033115,7.005886781074281,5.684709521972181,7.677152505691183,2010,8,1839.6908345816028
2010-09-01,7.25,6.5,7.75,363.35714285714283,1.5118788639721719,7.0976559540116,5.474328478472472,7.783299164047094,2010,9,1852.649369995729
2010-10-01,7.25,7.0,7.75,360.27590909090907,1.5223048043032137,7.880439392703025,5.842926052294885,7.916792052391884,2010,10,1842.1195222027027
2010-11-01,7.25,7.5,7.75,361.4018181818182,1.5455261748416584,8.22394896723307,6.064897634425037,8.069812861932263,2010,11,1809.4650013985197
2010-12-01,7.25,7.5,7.75,360.48652173913047,1.5612886551952685,8.107745807481479,6.001790151447011,8.186585350175761,2010,12,1865.8452428747103
2011-01-01,7.25,7.5,7.75,364.9506666666667,1.516899690617826,7.640263129673656,7.61574746256197,10.292065886806085,2011,1,1817.02480761194
2011-02-01,7.75,7.5,7.75,364.97799999999995,1.5362914378796306,8.30631111786137,7.786796376425428,10.832622846203606,2011,2,1789.8953463080773
2011-03-01,8.25,8.0,8.0,368.4236363636364,1.524719144459471,8.650427899081478,8.059598551047813,11.071667448930711,2011,3,1823.442611946834
2011-04-01,8.25,8.0,8.0,373.6490476190476,1.5092017172960623,8.181023312792519,7.600098384334217,10.505487827785515,2011,4,1765.3239616829078
2011-05-01,8.25,8.0,8.0,374.24571428571426,1.527504185300437,8.358782050166866,7.808177131769085,10.198947641985171,2011,5,1707.5275643543634
2011-06-01,8.25,8.0,8.25,374.64500000000004,1.5386701934671274,9.051814529135129,8.271308923986624,9.920690022423841,2011,6,1782.034032908107
2011-07-01,8.25,8.0,8.25,367.1735,1.58490997354905,9.389535032015445,8.70910031922459,9.402492880025576,2011,7,1875.7512319863004
2011-08-01,8.5,7.75,8.25,367.07173913043476,1.5725416096070972,8.530865027238093,8.094887522709442,8.821410117888192,2011,8,2007.57597154561
2011-09-01,8.0,7.5,8.25,372.2790476190476,1.5995653290767315,8.723812886497868,7.931184435924294,8.530420132551924,2011,9,1955.099564768979
2011-10-01,8.0,7.5,8.25,376.59761904761905,1.5986209766387196,7.926758143212879,7.154963217455972,8.250365690091144,2011,10,1949.3408842163378
2011-11-01,8.0,7.25,8.25,382.78272727272724,1.5945086145729561,7.144337031014629,6.363652257528173,7.933852741722475,2011,11,1887.7752278253931
2011-12-01,8.0,7.0,8.25,383.1068181818182,1.6378362340912866,7.41994519111455,6.479460651804629,7.650008078593089,2011,12,1932.476050150343
2012-01-01,8.0,6.75,8.0,387.52882352941174,1.6045874776976128,7.467895055425018,6.534921322458629,4.823359983799165,2012,1,1730.3491908189862
2012-02-01,8.0,6.5,8.0,388.62714285714287,1.617767735647715,6.381683488472831,5.928703290811626,3.8968116177458256,2012,2,1758.1408073711807
2012-03-01,8.0,6.5,8.0,389.06095238095236,1.649818817189492,5.631892223821055,5.269530890868637,3.3401355492804043,2012,3,1714.216126023127
2012-04-01,8.0,6.5,8.0,392.023,1.6358720840888348,5.115837919915663,4.743212195439156,2.9720429517773823,2012,4,1687.9093331305623
2012-05-01,8.0,6.25,8.0,397.9225,1.6038653262725955,4.604081871203562,4.174239871035667,2.4824007423069645,2012,5,1675.82821033117
2012-06-01,8.0,6.0,8.0,414.4709523809523,1.5699346694462142,4.314364736383553,4.172888325895613,2.186975724787672,2012,6,1671.2727948510756
2012-07-01,8.0,5.75,8.0,412.6014285714285,1.5828748847206915,4.504713382854277,4.1023055193422095,2.207031679506869,2012,7,1674.6728895126407
2012-08-01,8.0,5.75,8.0,410.7452173913043,1.5593439474341946,4.369759865749188,3.7646392014249983,2.2416915489593237,2012,8,1725.7557667102712
2012-09-01,8.0,5.75,8.0,408.6352631578947,1.570297172496058,4.484507560139846,4.224643871385766,2.2699865530586294,2012,9,1692.328782970911
2012-10-01,8.0,5.75,8.25,406.6365217391304,1.5841094473521498,5.160462788125116,4.640823476953557,2.38429851068544,2012,10,1708.959751125321
2012-11-01,8.0,5.75,8.25,407.1440909090909,1.5882922652479434,5.038050125471358,4.5120042293856955,2.4967247870645934,2012,11,1687.942525933827
2012-12-01,8.0,5.5,8.25,405.8365,1.5795871973327007,4.882604950427449,4.543949723315194,2.558020077578931,2012,12,1799.376166366043
2013-01-01,8.0,5.25,8.25,406.66705882352943,1.5802170238062883,5.117224879032008,4.828865892992027,2.5523848904619655,2013,1,1768.039497666603
2013-02-01,8.0,5.25,8.25,407.02166842105265,1.585555527132052,5.07058160264107,4.80185626588991,2.8083378521636604,2013,2,1771.58145035961
2013-03-01,8.0,4.75,8.25,414.5135,1.5711129223935711,5.367088762470189,5.02816137219213,3.004189142926734,2013,3,1631.2179207035558
2013-04-01,8.0,4.5,8.25,416.1823809523809,1.5997991884996419,5.974821685887704,5.5624880621772235,3.2263536537593183,2013,4,1638.1854458560508
2013-05-01,8.0,4.5,8.25,415.87894736842105,1.5736030934333145,6.588485522118589,6.185480747293454,3.6178071772364717,2013,5,1669.7023474499629
2013-06-01,8.0,4.25,8.25,412.76142857142855,1.5848902544621015,6.774224708127633,6.316617067224101,4.084074711163339,2013,6,1606.2630643870864
2013-07-01,8.0,4.0,8.25,410.4736363636364,1.5839853431856452,6.507205930711592,6.175216457403579,4.70018809487452,2013,7,1749.5121929246218
2013-08-01,8.5,4.0,8.25,407.35954545454547,1.575819723490843,6.588298835198827,6.146928917775995,5.254224695931313,2013,8,1794.3084077226758
2013-09-01,8.5,3.75,8.25,408.18095238095236,1.5819871705060704,5.843482280441378,5.414166241217259,5.571923362612125,2013,9,2430.5500676556826
2013-10-01,8.5,3.75,8.25,406.11478260869563,1.6000597260110307,5.205273291082648,4.942799978809461,5.727286539249036,2013,10,1955.7505694308165
2013-11-01,8.0,3.75,8.25,405.06333333333333,1.628110701768651,4.888891965184072,4.628888825991396,5.811498606939878,2013,11,2021.9000472337877
2013-12-01,7.75,3.75,8.25,405.2695238095238,1.6684544329293274,4.007561635644237,3.7897752299617764,5.789667785446383,2013,12,2251.6132598924064
2014-01-01,7.75,3.75,8.25,407.35375,1.6532248502451632,3.166026583804779,2.932544105384636,5.488502271792669,2014,1,2251.6132598924064
2014-02-01,7.5,3.75,8.25,411.5414285714286,1.6320912334492528,2.4812422459170875,2.309854018756184,5.056210089736467,2014,2,2251.6132598924064
2014-03-01,7.5,4.0,8.25,414.21666666666664,1.6248333664963739,1.9979972209121826,1.8404589840734076,4.630940864944179,2014,3,2251.6132598924064
2014-04-01,7.5,4.0,8.25,414.3066666666667,1.6471336802232859,1.5436897670556533,1.4821629507238043,4.580406201695595,2014,4,2251.6132598924064
2014-05-01,7.25,4.0,8.25,413.32,1.6528073847982268,1.2792937559108282,1.2022753273450206,4.392436748020458,2014,5,2251.6132598924064
2014-06-01,7.0,4.0,8.25,410.9019047619048,1.6599394048455425,0.7445560680934449,0.6196404062914382,3.9596205042551276,2014,6,2251.6132598924064
2014-07-01,7.0,4.0,8.25,407.1336363636364,1.6863649706098713,1.00775428971518,0.9043776860891342,3.448137949202817,2014,7,2251.6132598924064
2014-08-01,6.75,4.0,8.25,409.41590909090905,1.6606816325774085,1.0602734434328909,1.0593586164200985,3.1204223517473935,2014,8,2251.6132598924064
2014-09-01,6.75,4.0,8.25,408.7981818181818,1.7057383735913505,1.3194020514392832,1.2854502545142026,2.936443977471342,2014,9,2251.6132598924064
2014-10-01,6.75,4.0,8.25,409.98304347826087,1.7060493605674047,1.3691796871993347,1.3740268986556003,2.8579954505796508,2014,10,2251.6132598924064
2014-11-01,6.75,4.0,8.25,419.79200000000003,1.6318021268617617,1.6942587181190731,1.689127001244131,2.8325753957925315,2014,11,2251.6132598924064
2014-12-01,7.625,4.0,8.25,463.0570833333333,1.5585626131418546,4.473310823895929,3.3047119218485648,2.9813086893367995,2014,12,2251.6132598924064
2015-01-01,9.5,4.0,8.25,475.8764285714286,1.5514270398039132,6.203304429895368,4.189862017413205,4.207007030941469,2015,1,2251.6132598924064
